timestamp,buyer,seller,symbol,currency,price,quantity
0,Remy,Vinnie,ROSES,SEASHELLS,15001.0,3
0,Remy,Vinnie,CHOCOLATE,SEASHELLS,8001.0,8
2,Vinnie,Rhianna,ROSES,SEASHELLS,15000.0,3
5,Vinnie,Remy,STRAWBERRIES,SEASHELLS,3999.0,10
10,Ruby,Vinnie,GIFT_BASKET,SEASHELLS,71360.0,2
12,Remy,Vinnie,ROSES,SEASHELLS,14997.0,1
13,Vinnie,Vladimir,CHOCOLATE,SEASHELLS,8000.0,7
14,Vinnie,Remy,ROSES,SEASHELLS,14994.0,3
26,Remy,Vinnie,ROSES,SEASHELLS,14974.0,5
28,Remy,Vinnie,STRAWBERRIES,SEASHELLS,4001.0,10
31,Remy,Vinnie,ROSES,SEASHELLS,14961.0,5
32,Remy,Vinnie,STRAWBERRIES,SEASHELLS,4002.0,5
33,Remy,Vinnie,STRAWBERRIES,SEASHELLS,4001.0,8
35,Rhianna,Vinnie,GIFT_BASKET,SEASHELLS,71340.0,2
35,Remy,Vinnie,CHOCOLATE,SEASHELLS,8005.0,8
35,Vinnie,Vladimir,STRAWBERRIES,SEASHELLS,4000.0,7
37,Remy,Vinnie,ROSES,SEASHELLS,14955.0,4
38,Rhianna,Vinnie,GIFT_BASKET,SEASHELLS,71339.0,1
44,Vinnie,Remy,STRAWBERRIES,SEASHELLS,3999.0,9
46,Vinnie,Remy,STRAWBERRIES,SEASHELLS,4000.0,7
56,Vinnie,Vladimir,STRAWBERRIES,SEASHELLS,3998.0,8
58,Vinnie,Remy,CHOCOLATE,SEASHELLS,7995.0,6
58,Vinnie,Vladimir,CHOCOLATE,SEASHELLS,7995.0,10
58,Remy,Vinnie,STRAWBERRIES,SEASHELLS,4000.0,4
62,Vinnie,Remy,ROSES,SEASHELLS,14962.0,3
68,Vinnie,Remy,STRAWBERRIES,SEASHELLS,3999.0,7
72,Vinnie,Remy,STRAWBERRIES,SEASHELLS,3999.0,4
74,Vinnie,Vladimir,CHOCOLATE,SEASHELLS,7999.0,7
77,Remy,Vinnie,ROSES,SEASHELLS,14957.0,1
78,Vinnie,Remy,ROSES,SEASHELLS,14955.0,1
80,Remy,Vinnie,CHOCOLATE,SEASHELLS,8003.0,5
86,Remy,Vinnie,STRAWBERRIES,SEASHELLS,4003.0,4
90,Vinnie,Remy,ROSES,SEASHELLS,14957.0,5
93,Remy,Vinnie,ROSES,SEASHELLS,14959.0,4
94,Vinnie,Remy,ROSES,SEASHELLS,14961.0,2
