timestamp,buyer,seller,symbol,currency,price,quantity
0,Vinnie,Ruby,AMETHYSTS,SEASHELLS,9996.0,1
0,Remy,Valentina,STARFRUIT,SEASHELLS,5003.0,1
0,Remy,Ruby,AMETHYSTS,SEASHELLS,9996.0,1
1,Ruby,Valentina,STARFRUIT,SEASHELLS,5004.0,6
9,Rhianna,Valentina,STARFRUIT,SEASHELLS,5001.0,2
10,Vinnie,Ruby,STARFRUIT,SEASHELLS,4997.0,2
11,Valentina,Remy,STARFRUIT,SEASHELLS,4997.0,1
15,Remy,Valentina,STARFRUIT,SEASHELLS,5003.0,1
15,Remy,Vinnie,AMETHYSTS,SEASHELLS,10004.0,1
18,Ruby,Valentina,STARFRUIT,SEASHELLS,5001.0,10
18,Ruby,Vladimir,STARFRUIT,SEASHELLS,5001.0,1
18,Remy,Vladimir,STARFRUIT,SEASHELLS,5002.0,1
20,Remy,Vladimir,STARFRUIT,SEASHELLS,5002.0,1
21,Rhianna,Valentina,STARFRUIT,SEASHELLS,5001.0,4
25,Valentina,Remy,AMETHYSTS,SEASHELLS,9998.0,1
25,Valentina,Ruby,STARFRUIT,SEASHELLS,4996.0,11
32,Vinnie,Remy,AMETHYSTS,SEASHELLS,9996.0,1
32,Valentina,Remy,STARFRUIT,SEASHELLS,4996.0,1
33,Vladimir,Remy,STARFRUIT,SEASHELLS,4997.0,2
33,Valentina,Remy,AMETHYSTS,SEASHELLS,9995.0,2
36,Ruby,Valentina,AMETHYSTS,SEASHELLS,10005.0,6
39,Remy,Vladimir,STARFRUIT,SEASHELLS,5002.0,1
40,Vladimir,Rhianna,AMETHYSTS,SEASHELLS,9998.0,1
42,Ruby,Vinnie,AMETHYSTS,SEASHELLS,10004.0,2
42,Ruby,Valentina,AMETHYSTS,SEASHELLS,10004.0,1
42,Vinnie,Remy,STARFRUIT,SEASHELLS,4998.0,1
44,Ruby,Vladimir,STARFRUIT,SEASHELLS,5002.0,2
45,Valentina,Ruby,STARFRUIT,SEASHELLS,4997.0,8
45,Vinnie,Ruby,STARFRUIT,SEASHELLS,4997.0,1
58,Valentina,Ruby,STARFRUIT,SEASHELLS,4999.0,7
65,Vinnie,Rhianna,STARFRUIT,SEASHELLS,5000.0,5
66,Valentina,Remy,STARFRUIT,SEASHELLS,4999.0,1
67,Vladimir,Remy,AMETHYSTS,SEASHELLS,9998.0,2
67,Valentina,Remy,STARFRUIT,SEASHELLS,4998.0,2
67,Valentina,Rhianna,STARFRUIT,SEASHELLS,4999.0,4
71,Valentina,Rhianna,STARFRUIT,SEASHELLS,4999.0,5
72,Ruby,Valentina,STARFRUIT,SEASHELLS,5005.0,4
73,Vinnie,Remy,STARFRUIT,SEASHELLS,4998.0,1
74,Remy,Valentina,STARFRUIT,SEASHELLS,5005.0,1
