timestamp,buyer,seller,symbol,currency,price,quantity
8,Valentina,Valentina,COCONUT_COUPON,SEASHELLS,636.0,5
9,Valentina,Vinnie,COCONUT_COUPON,SEASHELLS,634.0,17
11,Valentina,Ruby,COCONUT_COUPON,SEASHELLS,635.0,17
19,Valentina,Vinnie,COCONUT_COUPON,SEASHELLS,635.0,16
20,Valentina,Vinnie,COCONUT_COUPON,SEASHELLS,637.0,14
30,Valentina,Valentina,COCONUT_COUPON,SEASHELLS,631.0,6
39,Vinnie,Vinnie,COCONUT_COUPON,SEASHELLS,635.0,2
39,Vladimir,Vinnie,COCONUT_COUPON,SEASHELLS,635.0,10
42,Ruby,Valentina,COCONUT_COUPON,SEASHELLS,635.0,20
43,Valentina,Vinnie,COCONUT_COUPON,SEASHELLS,635.0,16
43,Vladimir,Vinnie,COCONUT_COUPON,SEASHELLS,635.0,2
49,Valentina,Ruby,COCONUT_COUPON,SEASHELLS,636.0,12
52,Vinnie,Vinnie,COCONUT,SEASHELLS,9997.0,8
65,Valentina,Rhianna,COCONUT_COUPON,SEASHELLS,642.0,9
68,Valentina,Vinnie,COCONUT_COUPON,SEASHELLS,643.0,11
79,Valentina,Ruby,COCONUT_COUPON,SEASHELLS,635.0,18
89,Valentina,Vinnie,COCONUT_COUPON,SEASHELLS,639.0,15
89,Vladimir,Vinnie,COCONUT_COUPON,SEASHELLS,639.0,5
93,Raj,Vinnie,COCONUT,SEASHELLS,10005.0,6
105,Valentina,Ruby,COCONUT_COUPON,SEASHELLS,635.0,16
105,Vladimir,Ruby,COCONUT_COUPON,SEASHELLS,635.0,4
109,Vinnie,Vinnie,COCONUT,SEASHELLS,10007.0,10
125,Vinnie,Raj,COCONUT,SEASHELLS,10003.0,10
145,Valentina,Rhianna,COCONUT_COUPON,SEASHELLS,641.0,11
146,Valentina,Valentina,COCONUT_COUPON,SEASHELLS,641.0,6
146,Valentina,Vinnie,COCONUT_COUPON,SEASHELLS,641.0,11
149,Vinnie,Vinnie,COCONUT,SEASHELLS,10004.0,10
153,Valentina,Vinnie,COCONUT_COUPON,SEASHELLS,641.0,14
155,Ruby,Valentina,COCONUT_COUPON,SEASHELLS,639.0,16
155,Ruby,Vladimir,COCONUT_COUPON,SEASHELLS,639.0,4
160,Vinnie,Vinnie,COCONUT,SEASHELLS,10001.0,8
162,Vinnie,Vinnie,COCONUT,SEASHELLS,10000.0,10
164,Valentina,Ruby,COCONUT_COUPON,SEASHELLS,635.0,11
166,Valentina,Valentina,COCONUT_COUPON,SEASHELLS,633.0,9
171,Vinnie,Vinnie,COCONUT,SEASHELLS,10000.0,10
184,Ruby,Valentina,COCONUT_COUPON,SEASHELLS,638.0,14
201,Vinnie,Vinnie,COCONUT,SEASHELLS,9990.0,5
201,Vinnie,Raj,COCONUT,SEASHELLS,9990.0,10
207,Valentina,Valentina,COCONUT_COUPON,SEASHELLS,631.0,6
208,Vinnie,Raj,COCONUT,SEASHELLS,9993.0,10
229,Valentina,Valentina,COCONUT_COUPON,SEASHELLS,627.0,7
236,Vinnie,Vinnie,COCONUT,SEASHELLS,9988.0,7
238,Vinnie,Vinnie,COCONUT,SEASHELLS,9988.0,5
249,Vinnie,Vinnie,COCONUT,SEASHELLS,9990.0,6
254,Vinnie,Vinnie,COCONUT,SEASHELLS,9991.0,10
257,Vinnie,Vinnie,COCONUT,SEASHELLS,9993.0,9
265,Rhianna,Vinnie,COCONUT,SEASHELLS,9996.0,3
266,Valentina,Vinnie,COCONUT_COUPON,SEASHELLS,625.0,17
266,Vladimir,Valentina,COCONUT_COUPON,SEASHELLS,625.0,10
268,Valentina,Vinnie,COCONUT_COUPON,SEASHELLS,623.0,20
